Index,local_ppv
278,0.00242718
279,0.000106279
280,7.34366e-05
281,0.000435849
282,0.000964527
283,0.000187025
284,0.000294791
285,0.000331826
286,0.000282025
287,0.000151515
288,0.000364012
289,0.000145194
290,0.000576369
291,0.000274034
292,0.000274298
293,0.000219828
294,0.00389211
295,0.000754258
296,0.000148493
297,9.30211e-05
298,0.000333839
299,0.000784765
300,0.00123479
301,0.000157167
302,0.000194959
303,0.000391107
304,0.000321637
305,0.000692828
306,0.000164936
307,0.000214406
308,0.00136851
309,0.00024031
310,0.000674364
311,0.00187223
312,0.000422998
313,0.000502374
314,0.000775643
315,0.000637245
316,0.000951039
317,0.000118279
318,0.00540258
319,0.000145746
320,0.000146561
321,0.00059809
322,8.59711e-05
323,0.000164304
324,0.000186795
325,0.000130467
326,0.000147456
327,0.000361349
328,0.000183851
329,0.000281046
330,0.000413897
331,0.000425116
332,9.19966e-05
333,5.26677e-05
334,8.66415e-05
335,0.000654406
336,0.0114169
337,0.000196317
338,0.000458253
339,0.000538486
340,9.4156e-05
341,9.42013e-05
342,9.47863e-05
343,0.000196258
344,7.77698e-05
345,0.00109189
346,0.00046111
347,0.000260759
348,0.000273697
349,0.000211126
350,0.00179435
351,0.000255228
352,0.000152402
353,0.000252471
354,0.000495711
355,0.000769079
356,0.000331707
357,0.000114075
358,0.00450706
359,8.44661e-05
360,0.000637776
361,0.000176488
362,0.000975339
363,0.000395603
364,0.000135871
365,9.56234e-05
366,0.000129343
367,0.000162554
368,0.000482442
369,0.000332072
370,0.000138269
371,0.000132395
372,0.000250503
373,0.000462964
374,0.000722202
375,0.000543205
376,0.000277331
377,0.000421579
378,0.000486641
379,0.000120312
380,0.000351243
381,0.000899234
382,0.0024623
383,0.000581312
384,0.0194896
385,0.000441933
386,8.70828e-05
387,6.57123e-05
388,0.000147584
389,0.000308286
390,0.000138229
391,0.000342814
392,0.000144089
393,0.000110932
394,0.0226432
395,0.000411254
396,0.000120266
397,0.000532546
398,0.000180974
399,0.000230264
400,0.000156539
401,0.000152201
402,0.000101783
403,0.000259508
404,0.00693204
405,0.00122027
406,0.000136799
407,0.000252986
408,6.0469e-05
409,0.000480863
410,0.00459385
411,0.000228805
412,0.000398095
413,0.000174597
414,0.000152298
415,0.0106356
416,0.000977982
417,0.0046745
418,0.000652953
419,0.000184787
420,6.4818e-05
421,0.000371651
422,0.000246803
423,0.000119547
424,0.00101163
425,0.001138
426,0.00150676
427,0.000148418
428,0.000101375
429,0.000260421
430,0.00069571
431,0.0005959
432,0.000446228
433,0.000815316
434,0.000348918
435,0.00069506
436,0.000298588
437,0.000783415
438,0.00438979
439,0.000263628
440,0.000253637
441,0.000188153
442,0.00122601
443,0.000162993
444,0.000224604
445,0.000531335
446,0.000556241
447,0.000181274
448,0.000170099
449,0.000214688
450,0.000451346
451,0.00340422
452,0.00080056
453,0.000734666
454,0.000975698
455,0.000336196
456,0.000149997
457,0.000960652
458,0.000223509
459,0.000231529
460,0.000178286
461,0.000429671
462,0.000238568
463,5.47865e-05
464,0.000321489
465,0.000137723
466,0.00017055
467,0.000261526
468,0.000922711
469,0.000650917
470,0.00156218
471,0.000650573
472,0.000664224
473,0.000340703
474,0.00036391
475,0
476,0.000396752
477,0.000163158
478,0.000648378
479,0.000306571
480,0.000549563
481,0.000411711
482,0.000662408
483,0.000359988
484,6.82132e-05
485,0.000176271
486,7.87084e-05
487,0.000173461
488,0.00031726
489,0.00075738
490,0.000556903
491,0.000272395
492,0.000194043
493,0.00539905
494,0.0013318
495,0.000383689
496,0.00513339
497,0.000620489
498,0.000720038
499,0.000240905
500,0.000133095
501,9.39575e-05
502,0.000401735
503,9.51988e-05
504,0.000203953
505,0.00625069
506,0.000144006
507,0.000121285
508,0.000938
509,0.000101415
510,0.000251678
511,0.00183435
512,0.00164212
513,2.36063e-05
514,0.000720587
515,0.00186181
516,0.000566862
517,9.59887e-05
518,0.000275902
519,0.000228337
520,0.000277223
521,0.00033008
522,0.00244516
523,0.00031576
524,0.000372586
525,0.000315832
526,0.000200549
527,0.000112831
528,0.00372107
529,0.000293085
530,0.00091466
531,0.000374716
532,0.000131895
533,0.00520141
534,0.000275444
535,0.000234266
536,0.000284255
537,0.000115959
538,0.000133567
539,0.00024396
540,8.9481e-05
541,0.00014752
542,0.000256184
543,0.000255648
544,0.000360282
545,0.000385514
546,0.00024038
547,0.000466996
548,0.000631304
549,0.000645102
550,0.000136596
551,0.000251869
552,0.000197583
553,0.00025727
554,0.000191153
555,0.000570015
556,0.000553499
557,0.000332996
558,0.000168835
559,0.000231169
560,0.00118811
561,0.00128652
562,0.000250627
563,0.000252255
564,0.00097507
565,6.71572e-05
566,0.000467991
567,5.15523e-05
568,0.00148695
569,0.000217531
570,0.00046837
571,0.00911132
572,0.00108929
573,6.30491e-05
574,0.000308732
575,0.000433107
576,5.74503e-05
577,0.000729992
578,0.000326154
579,0.000114501
580,0.000170772
581,0.000183315
582,9.46314e-05
583,0.000193104
584,0.000177914
585,0.00017372
586,0.000616631
587,0.00430628
