3PBL_A_ETQ_0180,-740.650,-11.629,0.237
3PBL_A_ETQ_0181,-733.824,-11.560,0.334
3PBL_A_ETQ_0182,-732.948,-11.620,0.283
3PBL_A_ETQ_0183,-725.700,-11.945,0.460
3PBL_A_ETQ_0184,-730.372,-11.982,0.352
3PBL_A_ETQ_0185,-727.058,-11.382,0.332
3PBL_A_ETQ_0186,-727.678,-11.631,0.335
3PBL_A_ETQ_0187,-703.880,-4.185,6.605
3PBL_A_ETQ_0188,-730.197,-11.548,0.449
3PBL_A_ETQ_0189,-742.594,-11.890,0.334
3PBL_A_ETQ_0190,-685.886,-8.256,6.645
3PBL_A_ETQ_0191,-710.570,-9.893,2.129
3PBL_A_ETQ_0192,-731.196,-11.653,0.384
3PBL_A_ETQ_0193,-745.600,-11.436,0.326
3PBL_A_ETQ_0194,-738.619,-11.737,0.315
3PBL_A_ETQ_0195,-738.529,-11.419,0.321
3PBL_A_ETQ_0196,-729.061,-11.344,0.281
3PBL_A_ETQ_0197,-733.863,-11.825,0.322
3PBL_A_ETQ_0198,-705.035,-7.317,3.279
3PBL_A_ETQ_0199,-696.263,-5.230,4.715
3PBL_A_ETQ_0200,-741.169,-11.806,0.369
3PBL_A_ETQ_0201,-733.401,-10.931,0.419
3PBL_A_ETQ_0202,-735.840,-11.882,0.299
3PBL_A_ETQ_0203,-738.367,-11.397,0.272
3PBL_A_ETQ_0204,-734.269,-10.971,0.389
3PBL_A_ETQ_0205,-741.570,-12.085,0.410
3PBL_A_ETQ_0206,-739.639,-11.610,0.322
3PBL_A_ETQ_0207,-729.234,-12.297,0.383
3PBL_A_ETQ_0208,-721.583,-11.343,0.317
3PBL_A_ETQ_0209,-732.107,-11.109,0.328
3PBL_A_ETQ_0210,-732.125,-11.756,0.323
3PBL_A_ETQ_0211,-729.632,-12.463,0.373
3PBL_A_ETQ_0212,-739.559,-11.925,0.375
3PBL_A_ETQ_0213,-740.160,-11.417,0.336
3PBL_A_ETQ_0214,-730.950,-11.530,0.287
3PBL_A_ETQ_0215,-723.707,-11.551,0.376
3PBL_A_ETQ_0216,-705.234,-6.943,4.306
3PBL_A_ETQ_0217,-699.114,-8.198,4.283
3PBL_A_ETQ_0218,-736.906,-12.146,0.323
3PBL_A_ETQ_0219,-732.116,-11.437,0.375
3PBL_A_ETQ_0220,-729.833,-11.824,0.245
3PBL_A_ETQ_0221,-732.399,-11.165,0.423
3PBL_A_ETQ_0222,-732.846,-12.089,0.342
3PBL_A_ETQ_0223,-735.561,-11.167,0.329
3PBL_A_ETQ_0224,-739.069,-11.365,0.256
3PBL_A_ETQ_0225,-728.609,-11.394,0.321
3PBL_A_ETQ_0226,-701.886,-2.806,6.631
3PBL_A_ETQ_0227,-733.815,-10.058,0.227
3PBL_A_ETQ_0228,-740.906,-10.908,0.362
3PBL_A_ETQ_0229,-741.462,-11.796,0.412
3PBL_A_ETQ_0230,-735.254,-11.442,0.359
3PBL_A_ETQ_0231,-737.314,-11.163,0.362
3PBL_A_ETQ_0232,-721.234,-6.846,6.477
3PBL_A_ETQ_0233,-725.484,-10.668,0.439
3PBL_A_ETQ_0234,-729.246,-8.834,1.112
3PBL_A_ETQ_0235,-739.435,-11.476,0.330
3PBL_A_ETQ_0236,-739.298,-11.637,0.327
3PBL_A_ETQ_0237,-730.868,-11.199,0.355
3PBL_A_ETQ_0238,-694.167,0.142,6.603
3PBL_A_ETQ_0239,-697.832,-3.137,6.633
3PBL_A_ETQ_0240,-679.619,0.411,3.362
3PBL_A_ETQ_0241,-746.393,-11.671,0.415
3PBL_A_ETQ_0242,-725.577,-11.471,0.275
3PBL_A_ETQ_0243,-727.752,-11.686,0.400
3PBL_A_ETQ_0244,-735.660,-11.554,0.383
3PBL_A_ETQ_0245,-730.828,-11.438,0.275
3PBL_A_ETQ_0246,-733.256,-10.898,0.499
3PBL_A_ETQ_0247,-736.101,-11.786,0.564
3PBL_A_ETQ_0248,-737.958,-11.645,0.333
3PBL_A_ETQ_0249,-742.401,-11.463,0.386
3PBL_A_ETQ_0250,-737.648,-11.545,0.291
3PBL_A_ETQ_0251,-728.521,-11.690,0.278
3PBL_A_ETQ_0252,-730.174,-11.832,0.358
3PBL_A_ETQ_0253,-735.319,-11.980,0.389
3PBL_A_ETQ_0254,-736.362,-11.039,0.291
3PBL_A_ETQ_0255,-742.168,-11.472,0.217
3PBL_A_ETQ_0256,-741.215,-11.687,0.370
3PBL_A_ETQ_0257,-741.892,-11.931,0.336
3PBL_A_ETQ_0258,-739.208,-11.572,0.326
3PBL_A_ETQ_0259,-728.104,-11.226,0.351
3PBL_A_ETQ_0260,-740.918,-11.432,0.292
3PBL_A_ETQ_0261,-741.851,-12.193,0.302
3PBL_A_ETQ_0262,-731.054,-11.624,0.313
3PBL_A_ETQ_0263,-729.438,-12.110,0.353
3PBL_A_ETQ_0264,-739.852,-11.602,0.318
3PBL_A_ETQ_0265,-744.232,-12.157,0.344
3PBL_A_ETQ_0266,-740.699,-12.184,0.336
3PBL_A_ETQ_0267,-724.411,-11.074,0.309
3PBL_A_ETQ_0268,-732.654,-9.857,0.913
3PBL_A_ETQ_0269,-727.749,-11.051,0.466
3PBL_A_ETQ_0270,-742.004,-11.763,0.358
3PBL_A_ETQ_0271,-741.127,-11.746,0.314
3PBL_A_ETQ_0272,-730.164,-11.886,0.407
3PBL_A_ETQ_0273,-734.931,-11.537,0.419
